ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,0,0,2
cassandra-schema,0,0,0,-1,2
compose-post-service,0,0,0,0,2
home-timeline-redis,1,0,0,0,2
home-timeline-service,1,0,0,0,2
jaeger-agent,2,0,0,0,2
jaeger-collector,2,0,0,0,2
jaeger-query,3,0,0,0,2
media-frontend,3,0,0,0,2
media-memcached,4,0,0,0,2
media-mongodb,4,0,0,0,2
media-service,5,0,0,0,2
nginx-web-server,5,0,0,0,2
post-storage-memcached,6,0,0,0,2
post-storage-mongodb,6,0,0,0,2
post-storage-service,7,0,0,0,2
social-graph-mongodb,7,0,0,0,2
social-graph-redis,8,0,0,0,2
social-graph-service,8,0,0,0,2
text-service,9,0,0,0,2
unique-id-service,9,0,0,0,2
url-shorten-memcached,10,0,0,0,2
url-shorten-mongodb,10,0,0,0,2
url-shorten-service,11,0,0,0,2
user-memcached,11,0,0,0,2
user-mention-service,12,0,0,0,2
user-mongodb,12,0,0,0,2
user-service,13,0,0,0,2
user-timeline-mongodb,13,0,0,0,2
user-timeline-redis,14,0,0,0,2
user-timeline-service,14,0,0,0,2
